,ID,x,y,Time,size,CustomTime,CustomLocation,SubmissionTime,OsVersion,AppVersion,Language,EventDate,maxCZC,CZCfilteredout,TDiff,SubvsEventbad,Multi1,Multi2,Multi3,blacklisted,xr,yr,Timer,FILTEREDOUT,days,months,years,size_text,size_mm,size_number,Lat,Lon
200443,eec8912e-21f4-40c2-8033-789b2b35c452,554476,146774,2021-06-20 13:06:14.168000+00:00,12,FALSE,FALSE,2021-06-20 13:06:39.119000+00:00,,,fr,21171,43.0,0,0.415849999586741,0,0,0,0,0,554500,146500,2021-06-20 13:05:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.470738375677506,6.845929239131938
200455,eeecf9f8-e6c0-4513-b450-62e525256b08,681167,245521,2021-06-20 15:38:03.411000+00:00,11,FALSE,FALSE,2021-06-20 15:38:14.387000+00:00,,,de,21171,59.5,0,0.182933334509532,0,0,0,0,0,681500,245500,2021-06-20 15:40:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,47.3555408416538,8.512971855544011
200469,ef13f75f-53f9-45dc-9b88-f9b9a2b475b4,565983,174058,2021-06-20 16:26:34.124000+00:00,12,FALSE,FALSE,2021-06-20 16:26:42.508000+00:00,,,fr,21171,60.0,0,0.139733330408732,0,0,0,0,0,565500,174500,2021-06-20 16:25:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.71685399181491,6.993723767774958
200471,ef153004-24b2-44ba-8834-c774b7dfcb03,614194,192097,2021-06-20 13:58:15.054000+00:00,12,FALSE,FALSE,2021-06-20 13:59:08.776000+00:00,,,de,21171,63.5,0,0.895366668701172,0,0,0,0,0,614500,192500,2021-06-20 14:00:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.87984343217497,7.624840866719804
200479,ef2a9ccb-0cc4-4cdf-b920-1b8993023f3b,647437,208265,2021-06-20 14:28:49.685000+00:00,12,FALSE,FALSE,2021-06-20 14:28:56.747000+00:00,,,de,21171,61.5,0,0.117700000603994,0,0,0,0,0,647500,208500,2021-06-20 14:30:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.023734553496254,8.062620248362334
200483,ef352173-2d3b-4080-be9f-4acd629cd3f2,681864,247970,2021-06-20 15:40:22.867000+00:00,11,FALSE,FALSE,2021-06-20 15:40:42.043000+00:00,,,de,21171,57.5,0,0.319599997997284,0,0,0,0,0,681500,247500,2021-06-20 15:40:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,47.37747953426145,8.522644108686915
200502,ef54e2d5-420e-4bf5-9b2f-f5de5c7181c4,686189,253438,2021-06-20 16:09:31.224000+00:00,13,FALSE,FALSE,2021-06-20 16:09:40.313000+00:00,,,de,21171,59.5,0,0.151483333110809,0,0,0,0,0,686500,253500,2021-06-20 16:10:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,47.426102951948316,8.580960591152442
200510,ef69c066-32ad-4fe5-9315-0ffaf89296e2,663492,215781,2021-06-20 15:13:09.330000+00:00,13,FALSE,FALSE,2021-06-20 15:13:42.617000+00:00,,,de,21171,64.0,0,0.554783336321513,0,0,0,0,0,663500,215500,2021-06-20 15:15:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,47.089995005726614,8.27484795159669
200512,ef7018cd-41fe-4791-ba6e-4272d9a8b88d,599870,237062,2021-06-20 18:35:28.867000+00:00,10,FALSE,FALSE,2021-06-20 18:37:21.435000+00:00,,,fr,21171,37.0,0,1.87613333066305,0,0,0,0,0,599500,237500,2021-06-20 18:35:00+00:00,0,2021-06-20,2021-06,2021,No hail,No hail,0.0,47.28445019191336,7.436908096922229
200520,ef7d8e66-544b-415b-92e2-be7d5411d7f3,580305,207955,2021-06-20 16:42:52.309000+00:00,12,FALSE,FALSE,2021-06-20 16:43:01.256000+00:00,,,de,21171,59.5,0,0.149116667111715,0,0,0,0,0,580500,207500,2021-06-20 16:45:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.02234405705826,7.179570933567345
